"id","clip","speaker","rough","casual","honest","proper","easygoing","fastspeaking"
1290,"M5_02","M5","3","3","3","3","3","3"
1290,"M5_03","M5","3","3","3","3","3","3"
1290,"M5_04","M5","3","3","3","3","3","3"
1290,"somewhatagree","attention_check","5","5","5","5","5","5"
1290,"somewhatdisagree","attention_check","2","2","2","2","2","2"
1290,"stronglyagree","attention_check","6","6","6","6","6","6"
1290,"stronglydisagree","attention_check","2","2","2","2","2","2"
1304,"F1_01","F1","1","4","3","4","4","4"
1304,"F1_02","F1","5","4","3","3","4","3"
1304,"F1_03","F1","3","4","3","3","4","3"
1304,"F1_04","F1","3","4","3","3","4","3"
1304,"F2_01","F2","3","4","3","3","4","3"
1304,"F2_02","F2","1","4","3","4","4","2"
1304,"F2_03","F2","3","4","3","2","4","3"
1304,"F2_04","F2","3","3","3","4","3","3"
1304,"F3_01","F3","2","4","3","3","4","3"
1304,"F3_02","F3","2","4","3","3","4","3"
1304,"F3_03","F3","2","4","3","3","4","3"
1304,"F3_04","F3","2","3","3","3","3","3"
1304,"F4_01","F4","4","4","3","3","4","3"
1304,"F4_02","F4","1","4","4","4","4","4"
1304,"F4_03","F4","3","4","4","3","4","3"
1304,"F4_04","F4","4","4","3","3","4","3"
1304,"F5_01","F5","4","4","3","3","4","4"
1304,"F5_02","F5","4","4","3","3","2","4"
1304,"F5_03","F5","3","3","3","3","4","3"
1304,"F5_04","F5","3","4","3","2","4","3"
1304,"M1_01","M1","4","3","4","3","4","4"
1304,"M1_02","M1","3","3","3","3","4","2"
1304,"M1_03","M1","4","3","3","3","4","3"
1304,"M1_04","M1","4","5","4","4","5","4"
1304,"M2_01","M2","5","5","3","3","3","2"
1304,"M2_02","M2","2","3","3","4","4","3"
1304,"M2_03","M2","3","4","3","2","4","3"
1304,"M2_04","M2","5","5","3","2","5","4"
1304,"M3_01","M3","3","3","4","4","4","3"
1304,"M3_02","M3","3","3","3","3","2","3"
1304,"M3_03","M3","1","4","3","3","4","3"
1304,"M3_04","M3","1","1","3","6","3","1"
1304,"M4_01","M4","4","3","3","3","3","3"
1304,"M4_02","M4","4","4","3","2","4","3"
1304,"M4_03","M4","3","4","4","3","4","3"
1304,"M4_04","M4","6","5","3","1","5","4"
1304,"M5_01","M5","3","3","3","5","4","3"
1304,"M5_02","M5","5","4","3","4","4","2"
1304,"M5_03","M5","1","4","3","4","4","1"
1304,"M5_04","M5","3","4","3","2","4","3"
1304,"somewhatagree","attention_check","4","4","4","4","4","4"
1304,"somewhatdisagree","attention_check","2","2","2","2","2","2"
1304,"stronglyagree","attention_check","6","6","6","6","6","6"
1304,"stronglydisagree","attention_check","0","0","0","0","0","0"
1306,"F1_01","F1","6","1","2","1","0","5"
1306,"F1_02","F1","5","4","4","4","0","4"
1306,"F1_03","F1","5","3","3","2","0","4"
1306,"F1_04","F1","6","2","2","1","0","5"
1306,"F2_01","F2","3","5","5","5","4","5"
1306,"F2_02","F2","4","4","4","4","3","6"
1306,"F2_03","F2","2","5","5","5","6","6"
1306,"F2_04","F2","3","4","3","4","4","3"
1306,"F3_01","F3","5","4","5","5","2","5"
1306,"F3_02","F3","4","4","4","4","4","5"
1306,"F3_03","F3","4","5","5","5","4","5"
1306,"F3_04","F3","3","5","5","5","4","5"
1306,"F4_01","F4","4","4","3","2","1","5"
1306,"F4_02","F4","5","4","3","4","2","5"
1306,"F4_03","F4","6","2","2","2","0","5"
1306,"F4_04","F4","4","4","4","5","2","5"
1306,"F5_01","F5","6","3","2","2","0","5"
1306,"F5_02","F5","6","4","2","2","1","4"
1306,"F5_03","F5","3","4","4","4","4","3"
1306,"F5_04","F5","6","2","2","3","0","5"
1306,"M1_01","M1","6","3","2","1","0","6"
1306,"M1_02","M1","3","3","3","3","3","3"
1306,"M1_03","M1","4","3","4","3","3","5"
