"id","clip","speaker","rough","casual","honest","proper","easygoing","fastspeaking","clip_rank","clip_score","speaker_gender","duration","num_of_words","wordspersec","num_of_syllables","syllablespersec","npviV_all","npviV_nophrasefinal","pitchpvi","f0var","st_pitchpvi","stvar","st_pitchpvi_new","stvar_new","npviV_nophrasefinal_median","npviV_all_median"
1269,"M1_04","M1","2","4","4","4","4","2",12,0.014735169,"male",2.266,8,3.530450132,11,4.854368932,62.85862645,54.75840053,11.51854281,23.31407839,2.407078335,3.34814776,2.708891176,3.332347188,58.05838664,59.11467366
1269,"M2_01","M2","4","5","5","2","5","4",40,0.065596691,"male",2.032,8,3.937007874,9,4.429133858,57.30319942,63.80211202,14.28502162,20.14359002,2.813037406,2.224318972,2.813037406,2.224318972,50.84709371,42.71168243
1269,"M2_02","M2","4","5","5","3","4","4",33,0.037960827,"male",2.306,7,3.03555941,9,3.902862099,29.60221573,29.28561164,15.97262005,56.70631269,3.107926375,5.686967586,3.107926375,5.686967586,35.7638302,33.79113728
1269,"M2_03","M2","5","5","5","3","5","4",38,0.052556086,"male",2.423,11,4.539826661,14,5.777961205,39.06884032,38.48681657,12.45061574,29.2695597,2.479672919,3.31417698,2.465040813,3.309340159,36.55492158,40
1269,"M2_04","M2","5","5","4","2","5","6",39,0.059150123,"male",2.417,14,5.79230451,18,7.447248655,61.45693871,60.01229798,8.263682283,27.19171881,1.686304946,3.38218567,1.686304946,3.381664991,56.16522482,56.84617199
1269,"M3_01","M3","1","2","4","5","2","2",1,0.003367623,"male",2.489,6,2.410606669,12,4.821213339,76.85706192,80.69549347,26.80124717,20.91201078,5.573358529,2.756441774,3.674532052,2.621032021,84.00882023,79.16823988
1269,"M3_02","M3","1","2","3","5","2","2",2,0.006378264,"male",2.384,9,3.775167785,13,5.453020134,48.51354298,46.86325901,4.443701451,5.358264178,0.965907408,0.920238203,0.965907408,0.84497862,38.02595914,41.67705046
1269,"M3_03","M3","1","4","4","5","3","3",4,0.008813734,"male",2.233,7,3.134796238,8,3.582624272,60.78417626,58.02852273,60.63839803,157.7658644,13.2608832,10.12665135,3.935585107,1.329257031,54.39503034,64.06213106
1269,"M3_04","M3","1","2","4","5","3","2",11,0.013449753,"male",1.79,6,3.351955307,7,3.910614525,33.97845422,36.96329379,49.00108578,51.12163477,10.9050248,4.229122933,2.514313218,1.670703933,31.52222197,30.92367062
1269,"M4_01","M4","4","5","4","4","4","4",28,0.028242256,"male",1.953,8,4.096262161,10,5.120327701,47.96322318,43.35109565,17.56795315,23.10362417,3.662234885,3.374415062,3.662234885,3.374415062,38.19959378,45.39930512
